#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:34 type:b dur:2 cpbdur:2 q:7.26 aq:4.07 tex:6296 mv:611 misc:2173 imb:4 pmb:328 smb:7828 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:5.77 aq:3.07 tex:9511 mv:763 misc:2654 imb:4 pmb:455 smb:7701 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:2.78 aq:0.16 tex:51617 mv:495 misc:4536 imb:15 pmb:1294 smb:6851 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:3.90 aq:1.50 tex:26501 mv:947 misc:3904 imb:0 pmb:881 smb:7279 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:4.46 aq:2.30 tex:12708 mv:923 misc:3049 imb:4 pmb:577 smb:7579 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:3.34 aq:1.66 tex:14331 mv:988 misc:3193 imb:4 pmb:617 smb:7539 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:0.96 aq:0.00 tex:38763 mv:377 misc:4212 imb:7 pmb:1099 smb:7054 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:1.87 aq:0.67 tex:35593 mv:516 misc:4043 imb:0 pmb:1024 smb:7136 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:2.32 aq:0.71 tex:19425 mv:1094 misc:3497 imb:8 pmb:733 smb:7419 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:1.41 aq:0.53 tex:23204 mv:1147 misc:3721 imb:7 pmb:830 smb:7323 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:0.05 aq:0.01 tex:37416 mv:278 misc:4146 imb:0 pmb:1082 smb:7078 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:0.50 aq:0.06 tex:34098 mv:556 misc:3994 imb:0 pmb:1026 smb:7134 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:0.73 aq:0.44 tex:18831 mv:798 misc:3155 imb:4 pmb:660 smb:7496 d:- ref:0 ;
